FECHA_ADMINISTRACION,GRUPO_ETARIO,GENERO,VACUNA,TIPO_EFECTOR,DOSIS_1,DOSIS_2
24JAN2021,51 a 60,M,Sputnik,Publico,0,7
25JAN2021,30 o menos,F,Sputnik,Privado,0,9
25JAN2021,30 o menos,F,Sputnik,Publico,0,64
25JAN2021,30 o menos,F,Sputnik,Publico nacional,1,2
25JAN2021,30 o menos,M,Sputnik,Privado,0,5
25JAN2021,30 o menos,M,Sputnik,Publico,0,40
25JAN2021,31 a 40,F,Sputnik,Privado,0,15
25JAN2021,31 a 40,F,Sputnik,Publico,1,128
25JAN2021,31 a 40,F,Sputnik,Publico nacional,0,4
25JAN2021,31 a 40,M,Sputnik,Privado,0,8
25JAN2021,31 a 40,M,Sputnik,Publico,0,72
25JAN2021,31 a 40,M,Sputnik,Publico nacional,0,3
25JAN2021,41 a 50,F,Sputnik,Privado,0,8
25JAN2021,41 a 50,F,Sputnik,Publico,0,133
25JAN2021,41 a 50,F,Sputnik,Publico nacional,0,1
25JAN2021,41 a 50,M,Sputnik,Privado,0,3
25JAN2021,41 a 50,M,Sputnik,Publico,0,74
25JAN2021,41 a 50,M,Sputnik,Publico nacional,0,3
25JAN2021,51 a 60,F,Sputnik,Privado,0,4
25JAN2021,51 a 60,F,Sputnik,Publico,1,84
25JAN2021,51 a 60,F,Sputnik,Publico nacional,0,1
25JAN2021,51 a 60,M,Sputnik,Privado,0,2
25JAN2021,51 a 60,M,Sputnik,Publico,1,62
25JAN2021,51 a 60,M,Sputnik,Publico nacional,0,1
25JAN2021,61 a 70,F,Sputnik,Publico,0,1
25JAN2021,61 a 70,M,Sputnik,Privado,0,1
25JAN2021,61 a 70,M,Sputnik,Publico,0,1
26JAN2021,30 o menos,F,Sputnik,Privado,1,11
26JAN2021,30 o menos,F,Sputnik,Publico,1,83
26JAN2021,30 o menos,F,Sputnik,Publico nacional,0,9
26JAN2021,30 o menos,M,Sputnik,Privado,0,2
26JAN2021,30 o menos,M,Sputnik,Publico,0,36
26JAN2021,30 o menos,M,Sputnik,Publico nacional,0,2
26JAN2021,31 a 40,F,Sputnik,Privado,2,22
26JAN2021,31 a 40,F,Sputnik,Publico,0,146
26JAN2021,31 a 40,F,Sputnik,Publico nacional,0,15
26JAN2021,31 a 40,M,Sputnik,Privado,0,17
26JAN2021,31 a 40,M,Sputnik,Publico,1,120
26JAN2021,31 a 40,M,Sputnik,Publico nacional,0,6
26JAN2021,41 a 50,F,Sputnik,Privado,1,19
26JAN2021,41 a 50,F,Sputnik,Publico,2,167
26JAN2021,41 a 50,F,Sputnik,Publico nacional,0,21
26JAN2021,41 a 50,M,Sputnik,Privado,0,4
26JAN2021,41 a 50,M,Sputnik,Publico,0,93
26JAN2021,41 a 50,M,Sputnik,Publico nacional,0,7
26JAN2021,51 a 60,F,Sputnik,Privado,0,6
26JAN2021,51 a 60,F,Sputnik,Publico,0,117
